search_batch_id	sample_category	pubmed_id
8461	Cancer, Breast	25873244
8455	Cancer, Breast	25873244
8460	Cancer, Breast	25873244
8479	Cancer, Breast	25873244
8481	Cancer, Breast	25873244
8478	Cancer, Breast	25873244
8488	Cancer, Breast	25873244
8466	Cancer, Breast	25873244
8480	Cancer, Breast	25873244
8484	Cancer, Breast	25873244
8482	Cancer, Breast	25873244
8458	Cancer, Breast	25873244
8462	Cancer, Breast	25873244
8486	Cancer, Breast	25873244
8490	Cancer, Breast	25873244
8473	Cancer, Breast	25873244
8472	Cancer, Breast	25873244
8476	Cancer, Breast	25873244
8469	Cancer, Breast	25873244
8485	Cancer, Breast	25873244
8487	Cancer, Breast	25873244
8475	Cancer, Breast	25873244
8474	Cancer, Breast	25873244
8457	Cancer, Breast	25873244
8467	Cancer, Breast	25873244
8465	Cancer, Breast	25873244
8477	Cancer, Breast	25873244
9453	Cancer, Breast	25873244
9452	Cancer, Breast	25873244
9451	Cancer, Breast	25873244
9450	Cancer, Breast	25873244
9449	Cancer, Breast	25873244
9448	Cancer, Breast	25873244
9447	Cancer, Breast	25873244
9446	Cancer, Breast	25873244
9445	Cancer, Breast	25873244
9444	Cancer, Breast	25873244
9443	Cancer, Breast	25873244
9442	Cancer, Breast	25873244
9441	Cancer, Breast	25873244
9440	Cancer, Breast	25873244
9439	Cancer, Breast	25873244
9438	Cancer, Breast	25873244
9437	Cancer, Breast	25873244
9436	Cancer, Breast	25873244
9435	Cancer, Breast	25873244
9434	Cancer, Breast	25873244
9433	Cancer, Breast	25873244
9432	Cancer, Breast	25873244
9431	Cancer, Breast	25873244
9430	Cancer, Breast	25873244
9429	Cancer, Breast	25873244
9428	Cancer, Breast	25873244
9427	Cancer, Breast	25873244
9426	Cancer, Breast	25873244
9425	Cancer, Breast	25873244
9424	Cancer, Breast	25873244
9423	Cancer, Breast	25873244
9422	Cancer, Breast	25873244
9421	Cancer, Breast	25873244
9420	Cancer, Breast	25873244
9419	Cancer, Breast	25873244
9418	Cancer, Breast	25873244
9688	Cancer, Digestive System	25043054
9687	Cancer, Digestive System	25043054
9686	Cancer, Digestive System	25043054
9685	Cancer, Digestive System	25043054
9684	Cancer, Digestive System	25043054
9683	Cancer, Digestive System	25043054
9682	Cancer, Digestive System	25043054
9681	Cancer, Digestive System	25043054
9680	Cancer, Digestive System	25043054
9679	Cancer, Digestive System	25043054
9678	Cancer, Digestive System	25043054
9677	Cancer, Digestive System	25043054
9676	Cancer, Digestive System	25043054
9675	Cancer, Digestive System	25043054
9674	Cancer, Digestive System	25043054
9673	Cancer, Digestive System	25043054
9672	Cancer, Digestive System	25043054
9671	Cancer, Digestive System	25043054
9670	Cancer, Digestive System	25043054
9669	Cancer, Digestive System	25043054
9668	Cancer, Digestive System	25043054
9667	Cancer, Digestive System	25043054
9666	Cancer, Digestive System	25043054
9665	Cancer, Digestive System	25043054
9664	Cancer, Digestive System	25043054
9663	Cancer, Digestive System	25043054
9662	Cancer, Digestive System	25043054
9661	Cancer, Digestive System	25043054
9660	Cancer, Digestive System	25043054
9659	Cancer, Digestive System	25043054
9658	Cancer, Digestive System	25043054
9657	Cancer, Digestive System	25043054
9656	Cancer, Digestive System	25043054
9655	Cancer, Digestive System	25043054
9654	Cancer, Digestive System	25043054
9653	Cancer, Digestive System	25043054
9652	Cancer, Digestive System	25043054
9651	Cancer, Digestive System	25043054
9650	Cancer, Digestive System	25043054
9649	Cancer, Digestive System	25043054
9648	Cancer, Digestive System	25043054
9647	Cancer, Digestive System	25043054
9646	Cancer, Digestive System	25043054
9645	Cancer, Digestive System	25043054
9644	Cancer, Digestive System	25043054
9643	Cancer, Digestive System	25043054
9642	Cancer, Digestive System	25043054
9641	Cancer, Digestive System	25043054
9640	Cancer, Digestive System	25043054
9639	Cancer, Digestive System	25043054
9638	Cancer, Digestive System	25043054
9637	Cancer, Digestive System	25043054
9636	Cancer, Digestive System	25043054
9635	Cancer, Digestive System	25043054
9634	Cancer, Digestive System	25043054
9633	Cancer, Digestive System	25043054
9632	Cancer, Digestive System	25043054
9631	Cancer, Digestive System	25043054
9630	Cancer, Digestive System	25043054
9629	Cancer, Digestive System	25043054
9628	Cancer, Digestive System	25043054
9627	Cancer, Digestive System	25043054
9626	Cancer, Digestive System	25043054
9625	Cancer, Digestive System	25043054
9624	Cancer, Digestive System	25043054
9623	Cancer, Digestive System	25043054
9622	Cancer, Digestive System	25043054
9621	Cancer, Digestive System	25043054
9620	Cancer, Digestive System	25043054
9619	Cancer, Digestive System	25043054
9618	Cancer, Digestive System	25043054
9617	Cancer, Digestive System	25043054
9616	Cancer, Digestive System	25043054
9615	Cancer, Digestive System	25043054
9614	Cancer, Digestive System	25043054
9613	Cancer, Digestive System	25043054
9612	Cancer, Digestive System	25043054
9611	Cancer, Digestive System	25043054
9610	Cancer, Digestive System	25043054
9609	Cancer, Digestive System	25043054
9608	Cancer, Digestive System	25043054
9607	Cancer, Digestive System	25043054
9606	Cancer, Digestive System	25043054
9605	Cancer, Digestive System	25043054
9604	Cancer, Digestive System	25043054
9603	Cancer, Digestive System	25043054
9602	Cancer, Digestive System	25043054
9601	Cancer, Digestive System	25043054
9600	Cancer, Digestive System	25043054
9599	Cancer, Digestive System	25043054
9598	Cancer, Digestive System	25043054
9597	Cancer, Digestive System	25043054
9596	Cancer, Digestive System	25043054
9595	Cancer, Digestive System	25043054
9594	Cancer, Digestive System	25043054
8496	Cancer, Ovary	24719451
7622	Cancer, Ovary	24719451
9816	Non Cancer Cell Lines	24138474
9815	Non Cancer Cell Lines	24138474
9814	Non Cancer Cell Lines	24138474
9813	Non Cancer Cell Lines	24138474
9812	Non Cancer Cell Lines	24138474
9811	Non Cancer Cell Lines	24138474
9810	Non Cancer Cell Lines	24138474
9826	Cancer Cell Lines, Blood	24138474
9825	Cancer Cell Lines, Blood	24138474
9824	Cancer Cell Lines, Blood	24138474
9823	Cancer Cell Lines, Breast	24138474
9822	Cancer Cell Lines, Breast	24138474
9821	Cancer Cell Lines, Breast	24138474
9820	Cancer Cell Lines, Breast	24138474
9819	Cancer Cell Lines, Breast	24138474
9817	Cancer Cell Lines, Breast	24138474
9818	Cancer Cell Lines, Breast	24138474
7264	Cancer Cell Lines, Brain	24266786
7263	Other Anatomical Entities	24171499
7262	Cancer Cell Lines, Kidney	23940778
7260	Other Anatomical Entities	24361865
7259	Other Anatomical Entities	
7258	Cancer Cell Lines, Other Anatomical Entities	23242552
7244	Urine	
7243	Urine	23281308
7242	Urine	21127740
7241	Non Cancer Cell Lines	23676674
7240	Non Cancer Cell Lines	23676674
7239	Pancreas	
7238	Other Anatomical Entities	24313378
7237	Other Anatomical Entities	23921659
6778	Urine	20543976
6777	Urine	21500864
6776	Urine	21127740
6775	Urine	
6766	Cancer, Breast	22414580
6743	Cancer, Breast	23153008
6684	Liver	16815949
6683	Liver	16815949
6682	Liver	16815949
6708	Liver	16815949
6663	Liver	16815949
8448	Non Cancer Cell Lines	21983960
8449	Non Cancer Cell Lines	21983960
8450	Non Cancer Cell Lines	21983960
8454	Non Cancer Cell Lines	21983960
6634	Non Cancer Cell Lines	22108792
6632	Non Cancer Cell Lines	22108792
6765	Kidney	
6764	Kidney	
6763	Kidney	
6762	Kidney	
6761	Kidney	
8442	Non Cancer Cell Lines	22496350
8447	Non Cancer Cell Lines	22496350
8446	Non Cancer Cell Lines	22496350
8451	Non Cancer Cell Lines	22496350
8444	Non Cancer Cell Lines	22496350
8445	Cancer Cell Lines, Digestive System	23312004
8443	Cancer Cell Lines, Digestive System	23312004
8452	Cancer Cell Lines, Digestive System	23312004
8453	Cancer Cell Lines, Digestive System	23312004
8441	Cancer, Digestive System	23312004
8440	Cancer, Digestive System	23312004
8438	Cancer Cell Lines, Blood	23186163
8498	Cancer Cell Lines, Blood	23186163
8499	Cancer Cell Lines, Blood	23186163
8439	Cancer Cell Lines, Other Female Reproductive Organ	23186163
8436	Cancer Cell Lines, Other Female Reproductive Organ	23186163
8437	Cancer Cell Lines, Other Female Reproductive Organ	23186163
9790	Non Cancer Cell Lines	
6660	Non Cancer Cell Lines	20363803
6483	Placenta	
6656	Non Cancer Cell Lines	
6467	Blood Cells	
8435	Non Cancer Cell Lines	21983960
8434	Non Cancer Cell Lines	21983960
8431	Non Cancer Cell Lines	21983960
8433	Non Cancer Cell Lines	21983960
6595	Other Anatomical Entities	22188163
6575	Other Respiratory Organ	19357784
6579	Other Respiratory Organ	19357784
6583	Other Respiratory Organ	19357784
6573	Other Respiratory Organ	19357784
6572	Other Respiratory Organ	19357784
6576	Other Respiratory Organ	19357784
6582	Other Respiratory Organ	19357784
6580	Other Respiratory Organ	19357784
6581	Other Respiratory Organ	19357784
6578	Other Respiratory Organ	19357784
6577	Other Respiratory Organ	19357784
6574	Other Respiratory Organ	19357784
6586	Cancer Cell Lines, Other Female Reproductive Organ	21029866
8501	Other Anatomical Entities	22322096
6606	Blood Cells	22424236
6603	Blood Cells	22424236
6058	Non Cancer Cell Lines	21983960
6598	Blood Cells	22424236
6590	Cancer Cell Lines, Other Female Reproductive Organ	21029866
6601	Blood Cells	22424236
6052	Non Cancer Cell Lines	21983960
6602	Blood Cells	22424236
6609	Blood Plasma	22424236
6641	Non Cancer Cell Lines	21586754
6596	Other Anatomical Entities	22188163
6588	Cancer Cell Lines, Other Female Reproductive Organ	21029866
6612	Other Anatomical Entities	20334419
6640	Non Cancer Cell Lines	21586754
6600	Blood Cells	22424236
6608	Blood Cells	22424236
6604	Blood Cells	22424236
6584	Eye	25097467
8432	Other Anatomical Entities	19691289
6057	Non Cancer Cell Lines	21983960
6056	Non Cancer Cell Lines	21983960
6611	Blood Plasma	22424236
6593	Cancer Cell Lines, Other Female Reproductive Organ	21029866
6587	Cancer Cell Lines, Other Female Reproductive Organ	21029866
6599	Blood Cells	22424236
6585	Cancer Cell Lines, Other Female Reproductive Organ	21029866
8507	Cancer Cell Lines, Other Female Reproductive Organ	20860994
6613	Other Anatomical Entities	20939611
6607	Blood Cells	22424236
6592	Cancer Cell Lines, Other Female Reproductive Organ	21029866
6610	Blood Plasma	22424236
6591	Cancer Cell Lines, Other Female Reproductive Organ	21029866
6645	Cancer Cell Lines, Other Female Reproductive Organ	21029866
6605	Blood Cells	22424236
6594	Other Anatomical Entities	22188163
6589	Cancer Cell Lines, Other Female Reproductive Organ	21029866
6648	Cancer, Digestive System	21630462
9877	Blood Plasma	
9876	Blood Plasma	
9875	Blood Plasma	
9874	Blood Plasma	
9873	Blood Plasma	
9872	Blood Plasma	
9871	Blood Plasma	
9870	Blood Plasma	
9869	Blood Plasma	
9868	Blood Plasma	
9867	Blood Plasma	
9866	Blood Plasma	
9865	Blood Plasma	
9864	Blood Plasma	
9863	Blood Plasma	
9862	Blood Plasma	
9861	Blood Plasma	
9860	Blood Plasma	
9859	Blood Plasma	
9858	Blood Plasma	
9857	Blood Plasma	
9856	Blood Plasma	
9855	Blood Plasma	
9854	Blood Plasma	
9853	Blood Plasma	
9852	Blood Plasma	
9851	Blood Plasma	
9850	Blood Plasma	
9849	Blood Plasma	
9848	Blood Plasma	
9847	Blood Plasma	
9846	Blood Plasma	
9845	Blood Plasma	
9844	Blood Plasma	
9843	Blood Plasma	
9842	Blood Plasma	
9841	Blood Plasma	
9840	Blood Plasma	
9839	Blood Plasma	
9838	Blood Plasma	
8430	Cancer Cell Lines, Other Female Reproductive Organ	22167270
6465	Cancer Cell Lines, Other Anatomical Entities	22278370
6463	Cancer Cell Lines, Other Anatomical Entities	22068332
6464	Cancer Cell Lines, Other Anatomical Entities	22068332
6631	Non Cancer Cell Lines	22108792
6627	Non Cancer Cell Lines	22108792
6741	Non Cancer Cell Lines	22108792
6633	Non Cancer Cell Lines	22108792
6629	Non Cancer Cell Lines	22108792
6742	Non Cancer Cell Lines	22108792
9590	Cancer Cell Lines, Other Female Reproductive Organ	22068331
9593	Cancer Cell Lines, Other Female Reproductive Organ	22068331
9589	Cancer Cell Lines, Other Female Reproductive Organ	22068331
9592	Cancer Cell Lines, Other Female Reproductive Organ	22068331
8786	Cancer Cell Lines, Other Female Reproductive Organ	22068331
9591	Cancer Cell Lines, Other Female Reproductive Organ	22068331
8429	Cancer Cell Lines, Other Female Reproductive Organ	21851590
6454	Brain	
6453	Brain	
6452	Brain	
6451	Brain	
6450	Brain	
6449	Brain	
6448	Brain	
6447	Brain	
6446	Brain	
6445	Brain	
6444	Brain	
6443	Brain	
6442	Brain	
6707	Liver	16815949
6706	Liver	16815949
6705	Liver	16815949
6704	Liver	16815949
6703	Liver	16815949
6702	Liver	16815949
6701	Liver	16815949
6700	Liver	16815949
6699	Liver	16815949
6698	Liver	16815949
6697	Liver	16815949
6696	Liver	16815949
6695	Liver	16815949
6694	Liver	16815949
6693	Liver	16815949
6692	Liver	16815949
6691	Liver	16815949
6690	Liver	16815949
6689	Liver	16815949
6688	Liver	16815949
6687	Liver	16815949
6686	Liver	16815949
6685	Liver	16815949
6681	Liver	16815949
6680	Liver	16815949
6679	Liver	16815949
6678	Liver	16815949
6677	Liver	16815949
6676	Liver	16815949
6675	Liver	16815949
6674	Liver	16815949
6673	Liver	16815949
6672	Liver	16815949
6671	Liver	16815949
6670	Liver	16815949
6669	Liver	16815949
6668	Liver	16815949
6667	Liver	16815949
6666	Liver	16815949
6665	Liver	16815949
6664	Liver	16815949
6734	Liver	
6733	Liver	
6732	Liver	
6731	Liver	
6730	Liver	
6729	Liver	
6728	Liver	
6727	Liver	
6726	Liver	
6725	Liver	
6724	Liver	
6723	Liver	
6441	Blood Cells	
6440	Blood Cells	
6658	Blood Cells	
6439	Pancreas	
6438	Ovary	
6437	Lung	
6436	Heart	
6435	Cerebrospinal Fluid	
6434	Breast	
6433	Other Anatomical Entities	
6432	Other Anatomical Entities	
6568	Cancer Cell Lines, Blood	17519225
6567	Cancer Cell Lines, Blood	17519225
6571	Cancer Cell Lines, Blood	17519225
6566	Cancer Cell Lines, Blood	17519225
6565	Cancer Cell Lines, Blood	17519225
6564	Cancer Cell Lines, Blood	17519225
6563	Cancer Cell Lines, Blood	17519225
6562	Cancer Cell Lines, Blood	17519225
6561	Cancer Cell Lines, Blood	17519225
6560	Cancer Cell Lines, Blood	17519225
6559	Cancer Cell Lines, Blood	17519225
6558	Cancer Cell Lines, Blood	17519225
6557	Cancer Cell Lines, Blood	17519225
6556	Cancer Cell Lines, Blood	17519225
6555	Cancer Cell Lines, Blood	17519225
6554	Cancer Cell Lines, Blood	17519225
6553	Cancer Cell Lines, Blood	17519225
6552	Cancer Cell Lines, Blood	17519225
6551	Cancer Cell Lines, Blood	17519225
6550	Cancer Cell Lines, Blood	17519225
6549	Cancer Cell Lines, Blood	17519225
6548	Cancer Cell Lines, Blood	17519225
6570	Cancer Cell Lines, Blood	17519225
6569	Cancer Cell Lines, Blood	17519225
6547	Cancer Cell Lines, Blood	17519225
6546	Cancer Cell Lines, Blood	17519225
6545	Cancer Cell Lines, Blood	17519225
6544	Cancer Cell Lines, Blood	17519225
6543	Cancer Cell Lines, Blood	17519225
6542	Cancer Cell Lines, Blood	17519225
6541	Cancer Cell Lines, Blood	17519225
6540	Cancer Cell Lines, Blood	17519225
6539	Cancer Cell Lines, Blood	17519225
6538	Cancer Cell Lines, Blood	17519225
6537	Cancer Cell Lines, Blood	17519225
6536	Cancer Cell Lines, Blood	17519225
6535	Cancer Cell Lines, Blood	17519225
6534	Cancer Cell Lines, Blood	17519225
6533	Cancer Cell Lines, Blood	17519225
6532	Cancer Cell Lines, Blood	17519225
6531	Cancer Cell Lines, Blood	17519225
6530	Cancer Cell Lines, Blood	17519225
6529	Cancer Cell Lines, Blood	17519225
6528	Cancer Cell Lines, Blood	17519225
6527	Cancer Cell Lines, Blood	17519225
6526	Cancer Cell Lines, Blood	17519225
6525	Cancer Cell Lines, Blood	17519225
6524	Cancer Cell Lines, Blood	17519225
6523	Cancer Cell Lines, Blood	17519225
6522	Cancer Cell Lines, Blood	17519225
6521	Cancer Cell Lines, Blood	17519225
6520	Cancer Cell Lines, Blood	17519225
6519	Cancer Cell Lines, Blood	17519225
6518	Cancer Cell Lines, Blood	17519225
6517	Cancer Cell Lines, Blood	17519225
6516	Cancer Cell Lines, Blood	17519225
6515	Cancer Cell Lines, Blood	17519225
6514	Cancer Cell Lines, Blood	17519225
6513	Cancer Cell Lines, Blood	17519225
6512	Cancer Cell Lines, Blood	17519225
6511	Cancer Cell Lines, Blood	17519225
6510	Cancer Cell Lines, Blood	17519225
6509	Cancer Cell Lines, Blood	17519225
6508	Cancer Cell Lines, Blood	17519225
6507	Cancer Cell Lines, Blood	17519225
6506	Cancer Cell Lines, Blood	17519225
6505	Cancer Cell Lines, Blood	17519225
6504	Cancer Cell Lines, Blood	17519225
6503	Cancer Cell Lines, Blood	17519225
6502	Cancer Cell Lines, Blood	17519225
6501	Cancer Cell Lines, Blood	17519225
6500	Cancer Cell Lines, Blood	17519225
6499	Cancer Cell Lines, Blood	17519225
6498	Cancer Cell Lines, Blood	17519225
6497	Cancer Cell Lines, Blood	17519225
6659	Cancer Cell Lines, Blood	17519225
6431	Brain	
6430	Brain	
6429	Brain	
6428	Brain	
6427	Brain	
6426	Brain	
8500	Other Anatomical Entities	
6753	Urine	
6752	Urine	
6751	Urine	
6750	Urine	
6749	Urine	
6748	Urine	
6482	Blood Plasma	
6481	Blood Plasma	
6480	Blood Plasma	
6479	Blood Plasma	
6478	Blood Plasma	
6477	Blood Plasma	
6476	Blood Plasma	
6475	Blood Plasma	
6474	Blood Plasma	
6473	Blood Plasma	
6747	Urine	
6746	Urine	
6760	Kidney	
6759	Kidney	
6758	Kidney	
6757	Kidney	
6756	Kidney	
6755	Kidney	
6462	Cancer Cell Lines, Other Anatomical Entities	
6472	Blood Plasma	
6471	Blood Plasma	
6470	Blood Plasma	
6469	Blood Plasma	
6468	Blood Plasma	
6651	Placenta	19536202
6718	Liver	
6425	Brain	
6424	Blood Plasma	
6423	Blood Plasma	16684767
6422	Blood Plasma	16684767
6421	Blood Plasma	16684767
6420	Blood Plasma	16684767
6419	Blood Plasma	
6418	Blood Plasma	
6417	Blood Plasma	
6416	Blood Plasma	
6710	Liver	
6715	Liver	
6714	Liver	
6713	Liver	
6712	Liver	
6711	Liver	
6709	Liver	
6721	Liver	
6722	Liver	
6720	Liver	
6719	Liver	
6717	Liver	
6716	Liver	
6415	Urine	
6414	Urine	
6413	Urine	
6412	Urine	
6307	Blood Plasma	
6234	Urine	
6649	Urine	
6650	Urine	
6496	Blood Plasma	
6624	Blood Plasma	
6626	Blood Plasma	
6625	Blood Plasma	
6411	Non Cancer Cell Lines	
6410	Non Cancer Cell Lines	
6409	Non Cancer Cell Lines	
6408	Non Cancer Cell Lines	
6407	Non Cancer Cell Lines	
6406	Non Cancer Cell Lines	
6405	Non Cancer Cell Lines	
6404	Non Cancer Cell Lines	
6403	Non Cancer Cell Lines	
6402	Non Cancer Cell Lines	
6401	Non Cancer Cell Lines	
6400	Non Cancer Cell Lines	
6399	Non Cancer Cell Lines	
6398	Non Cancer Cell Lines	
6397	Non Cancer Cell Lines	
6396	Non Cancer Cell Lines	
6395	Non Cancer Cell Lines	
6394	Non Cancer Cell Lines	
6393	Non Cancer Cell Lines	
6392	Non Cancer Cell Lines	
6391	Non Cancer Cell Lines	
6390	Non Cancer Cell Lines	
6389	Non Cancer Cell Lines	
6388	Blood Plasma	
6387	Blood Plasma	
6386	Blood Plasma	
6385	Blood Plasma	
6384	Blood Plasma	
6383	Blood Plasma	
6382	Blood Plasma	
6381	Blood Plasma	
6380	Blood Plasma	
6379	Blood Plasma	
6378	Blood Plasma	
6377	Blood Plasma	
6376	Blood Plasma	
6375	Blood Plasma	
6374	Blood Plasma	
6373	Blood Plasma	17269739
6372	Blood Plasma	17269739
6371	Blood Plasma	17269739
6370	Blood Plasma	17269739
6369	Blood Plasma	17269739
6368	Blood Plasma	17269739
6367	Blood Plasma	17269739
6366	Blood Plasma	17269739
6365	Other Anatomical Entities	17269739
6364	Blood Cells	
6363	Blood Cells	
6362	Blood Cells	
6361	Blood Cells	
6360	Blood Cells	
6359	Blood Cells	
6358	Blood Cells	
6357	Blood Cells	
6356	Blood Cells	
6355	Blood Cells	
6354	Blood Cells	
6353	Blood Cells	
6352	Blood Cells	
6351	Blood Cells	
6350	Blood Cells	
6349	Blood Cells	
6348	Blood Cells	
6347	Blood Cells	
6346	Blood Cells	
6345	Blood Cells	
6344	Blood Cells	
6343	Blood Cells	
6342	Blood Cells	
6341	Blood Cells	
6340	Blood Cells	
6339	Blood Cells	
6338	Blood Cells	
6337	Blood Cells	
6336	Blood Cells	
6335	Blood Cells	
6334	Blood Cells	
6333	Blood Cells	
6332	Blood Cells	
6331	Blood Cells	
6330	Blood Cells	
6329	Blood Cells	
6328	Blood Cells	
6327	Blood Cells	
6326	Blood Cells	
6325	Blood Cells	
6324	Blood Cells	
6323	Blood Cells	
6322	Blood Cells	
6321	Blood Cells	
6320	Blood Cells	
6319	Blood Cells	
6318	Blood Cells	
6317	Blood Cells	
6316	Blood Cells	
6315	Blood Cells	
6314	Blood Cells	
6313	Other Anatomical Entities	
6312	Other Anatomical Entities	
6311	Eye	
6310	Other Anatomical Entities	
6309	Other Anatomical Entities	
6308	Other Anatomical Entities	
6306	Blood Plasma	
6305	Blood Plasma	
6304	Blood Plasma	
6303	Blood Plasma	
6302	Blood Plasma	
6301	Blood Plasma	
6300	Blood Plasma	
6299	Blood Plasma	
6298	Blood Plasma	
6297	Blood Plasma	
6296	Blood Plasma	
6295	Blood Plasma	
6294	Blood Plasma	
6293	Blood Plasma	
6292	Blood Plasma	
6642	Blood Plasma	
6291	Other Anatomical Entities	
6290	Other Anatomical Entities	
6289	Blood Plasma	15188391
6288	Blood Plasma	15188391
6287	Blood Plasma	15188391
6286	Blood Plasma	15188391
6285	Blood Plasma	15188391
6284	Other Anatomical Entities	15228325
6283	Other Anatomical Entities	15228325
6282	Other Anatomical Entities	15228325
6281	Other Anatomical Entities	15228325
6280	Blood Plasma	15188391
6279	Blood Plasma	15188391
6278	Blood Plasma	15188391
6277	Blood Plasma	15188391
6276	Blood Plasma	15188391
6275	Blood Plasma	15188391
6274	Blood Plasma	15188391
6273	Blood Plasma	15188391
6272	Blood Plasma	15188391
6271	Blood Plasma	15188391
6270	Blood Plasma	15188391
6269	Blood Plasma	15188391
6268	Other Anatomical Entities	
6267	Other Anatomical Entities	
6266	Other Anatomical Entities	
6265	Blood Plasma	
6264	Other Anatomical Entities	
6263	Blood Cells	
6262	Other Anatomical Entities	
6261	Cancer Cell Lines, Digestive System	
6260	Brain	
6259	Brain	
6222	Blood Cells	
6258	Other Anatomical Entities	
6257	Other Anatomical Entities	
6256	Other Anatomical Entities	
6255	Cancer Cell Lines, Other Male Reproductive Organ	14709176
6254	Other Male Reproductive Organ	
6253	Other Anatomical Entities	
6252	Other Anatomical Entities	
6251	Other Anatomical Entities	15085804
6250	Other Anatomical Entities	15085804
6248	Blood Plasma	15188391
6247	Blood Plasma	15188391
6246	Blood Plasma	
6249	Blood Plasma	
6245	Blood Plasma	15188391
6244	Blood Plasma	15188391
6243	Blood Plasma	15188391
6242	Blood Plasma	15188391
6241	Blood Plasma	15188391
6240	Blood Plasma	15188391
6239	Blood Plasma	15188391
6238	Blood Plasma	15188391
6237	Blood Plasma	15188391
6236	Cancer Cell Lines, Blood	
6235	Cancer Cell Lines, Blood	
6233	Blood Plasma	
6232	Blood Plasma	
6231	Blood Plasma	
6230	Blood Plasma	
6228	Other Anatomical Entities	
6227	Other Anatomical Entities	
6226	Other Anatomical Entities	
6225	Other Anatomical Entities	
6224	Other Anatomical Entities	14966291
6229	Blood Plasma	
6223	Cancer Cell Lines, Digestive System	14988394
6221	Other Anatomical Entities	
6219	Other Anatomical Entities	16816363
6218	Other Anatomical Entities	16816363
6220	Blood Cells	
6217	Other Anatomical Entities	16816363
6216	Other Anatomical Entities	16816363
6215	Other Anatomical Entities	16816363
6214	Other Anatomical Entities	16816363
6213	Other Anatomical Entities	
6212	Other Anatomical Entities	
6211	Other Anatomical Entities	12837591
6210	Other Anatomical Entities	
6209	Other Anatomical Entities	
6208	Other Anatomical Entities	
6207	Cancer Cell Lines, Liver	15269248
6206	Cancer Cell Lines, Liver	15287976
6205	Cancer Cell Lines, Liver	15269248
6204	Cancer Cell Lines, Liver	15287976
6203	Cancer Cell Lines, Liver	15287976
6202	Cancer Cell Lines, Liver	15287976
6201	Other Anatomical Entities	
6200	Cancer Cell Lines, Other Male Reproductive Organ	15833837
6199	Cancer Cell Lines, Other Male Reproductive Organ	15833837
6198	Cancer Cell Lines, Other Male Reproductive Organ	15833837
6197	Cancer Cell Lines, Blood	12832459
6196	Cancer Cell Lines, Blood	12832459
6195	Cancer Cell Lines, Blood	12832459
