search_batch_id	sample_category	pubmed_id
9208	Cancer Cell Lines, Blood	23933261
9199	Lung	27799870
9198	Cancer, Lung	27799870
9197	Cancer, Kidney	28857561
9196	Cancer, Kidney	28857561
9195	Testis	28959888
9194	Testis	28959888
9192	Testis	28959888
9189	Cancer Cell Lines, Other Female Reproductive Organ	28112733
9190	Cancer Cell Lines, Other Anatomical Entities	28112733
9188	Cancer, Liver	28248240
9187	Cancer Cell Lines, Brain	28087597
9186	Cancer Cell Lines, Brain	28087597
9185	Non Cancer Cell Lines	27852650
9184	Brain	26631761
9183	Brain	28687556
9181	Blood Plasma	28263321
9182	Blood Cells	28263321
9179	Blood Cells	28263321
9180	Blood Cells	28263321
9178	Blood Cells	28263321
9177	Blood Cells	28263321
9176	Blood Cells	28263321
9175	Blood Cells	28263321
9166	Blood Cells	28263321
9174	Blood Cells	28263321
9173	Blood Cells	28263321
9165	Blood Cells	28263321
9163	Blood Cells	28263321
9162	Blood Cells	28263321
9161	Blood Cells	28263321
9169	Blood Cells	28263321
9172	Blood Cells	28263321
9164	Blood Cells	28263321
9160	Blood Cells	28263321
9168	Blood Cells	28263321
9167	Blood Cells	28263321
9159	Blood Cells	28263321
9157	Blood Cells	28263321
9158	Blood Cells	28263321
9156	Blood Cells	28263321
9155	Blood Cells	28263321
9153	Blood Cells	28263321
9154	Blood Cells	28263321
9152	Blood Cells	28263321
9151	Blood Cells	28263321
9150	Blood Cells	28263321
9147	Blood Cells	28263321
9149	Blood Cells	28263321
9148	Blood Cells	28263321
9146	Blood Cells	28263321
9145	Blood Cells	28263321
9143	Blood Cells	28263321
9138	Blood Cells	28263321
9139	Blood Cells	28263321
9137	Blood Cells	28263321
9141	Blood Cells	28263321
9140	Blood Cells	28263321
9142	Blood Cells	28263321
9144	Blood Cells	28263321
9136	Blood Cells	28263321
9135	Blood Cells	28263321
9132	Cancer Cell Lines, Brain	25225357
9134	Cancer Cell Lines, Other Female Reproductive Organ	25225357
9133	Blood Plasma	25225357
9131	Cancer Cell Lines, Other Male Reproductive Organ	25225357
9130	Cancer Cell Lines, Liver	25225357
9129	Cancer Cell Lines, Lung	25225357
9128	Cancer, Digestive System	27976366
9127	Cancer, Digestive System	27976366
9123	Blood Cells	27626665
