search_batch_id	experiment_tag	sample_category	publication_name	pubmed_id	repository_identifiers
9375	Hs_Heart-EC-cells	Heart	Doll et al. (2017)	29133944	PXD006675
9360	Hs_Heart-AF-cells	Heart	Doll et al. (2017)	29133944	PXD006675
9367	Hs_Heart-SMC-cells	Heart	Doll et al. (2017)	29133944	PXD006675
9359	Hs_ThyroidCancerLines_MultiphasicLC-Chip	Cancer Cell Lines, Blood	Krisp et al. (2015)	25850434	PXD001464
9358	HUPO-HIPP_Melanoma-Soft_tissue	Cancer, Other Anatomical Entities	Bassani-Sternberg et al. (2016)	27869121	PXD004894
9357	HUPO-HIPP_Melanoma-Small_intestine	Cancer, Other Anatomical Entities	Bassani-Sternberg et al. (2016)	27869121	PXD004894
9356	HUPO-HIPP_Melanoma-Lymph_node	Cancer, Other Anatomical Entities	Bassani-Sternberg et al. (2016)	27869121	PXD004894
9355	HUPO-HIPP_Melanoma-Lung	Cancer, Other Anatomical Entities	Bassani-Sternberg et al. (2016)	27869121	PXD004894
9354	HUPO-HIPP_Melanoma-Adrenal_gland	Cancer, Other Anatomical Entities	Bassani-Sternberg et al. (2016)	27869121	PXD004894
9353	Hs_OvarianCancerCell-TOV-21	Cancer Cell Lines, Other Female Reproductive Organ	Creixell et al. (2015)	26388441	PXD000901
9352	Hs_OvarianCancerCell-OVSAYO	Cancer Cell Lines, Other Female Reproductive Organ	Creixell et al. (2015)	26388441	PXD000901
9351	Hs_OvarianCancerCell-OVISE	Cancer Cell Lines, Other Female Reproductive Organ	Creixell et al. (2015)	26388441	PXD000901
9350	Hs_OvarianCancerCell-OVAS	Cancer Cell Lines, Other Female Reproductive Organ	Creixell et al. (2015)	26388441	PXD000901
9349	Hs_OvarianCancerCell-KOC-7C	Cancer Cell Lines, Other Female Reproductive Organ	Creixell et al. (2015)	26388441	PXD000901
9348	Hs_OvarianCancerCell-ES2	Cancer Cell Lines, Other Female Reproductive Organ	Creixell et al. (2015)	26388441	PXD000901
9347	Hs_Choroid	Eye	Dammalli et al. (2017)	28186866	PXD002273
9346	Hs_Liver_QuantificationVariability	Liver	Wegler et al. (2017)	28767254	PXD003458
9343	Hs_B-cell_N-Glyco	Cancer Cell Lines, Blood	Deeb et al. (2014)	24190977	PXD000332
9342	Hs_GPNMB_CSF	Cerebrospinal Fluid	Zigdon et al. (2015)	25775479	PXD001654
9341	Hs_Liver-HpH-RPLC	Liver			PXD009021
9340	Hs_PDAC_Panc-1	Cancer Cell Lines, Pancreas	Wang et al. (2018)	29358341	PXD007890
9339	Hs_CentrosomalProtein	Cancer Cell Lines, Other Anatomical Entities	Arquint et al. (2018)	29445034	PXD008272
9337	Hs_NSCLCs_Phospho-LTQ_ORBI_Velos	Cancer Cell Lines, Lung	Wang et al. (2017)	28290473	PXD000861
9338	Hs_NSCLCs_Phospho-LTQ_ORBI_XL	Cancer Cell Lines, Lung	Wang et al. (2017)	28290473	PXD000861
9336	Hs_Platelet_PhosphoProteome-iTRAQ	Blood Cells	Solari et al. (2016)	27535140	PXD002883
9335	Hs_Platelet_GlobalProteome-iTRAQ	Blood Cells	Solari et al. (2016)	27535140	PXD002883
9334	Hs_Platelet_GlobalProteome	Blood Cells	Solari et al. (2016)	27535140	PXD002883
9333	Hs_Developing_Proteome	Blood Plasma	Lietzén et al. (2018)	29650987	PXD006775
9332	Hs_PARL_Hela-PartII	Cancer Cell Lines, Other Female Reproductive Organ			PXD005712
9331	Hs_PARL_Hela	Cancer Cell Lines, Other Female Reproductive Organ	Wai et al. (2016)	27737933	PXD004914
9330	Hs_CDK1_substrate-Phospho	Cancer Cell Lines, Other Female Reproductive Organ			PXD003681
9329	Hs_UVPD_Phospho-Hela_CID	Cancer Cell Lines, Other Female Reproductive Organ	Robinson et al. (2016)	27425180	PXD003904
9328	Hs_UVPD_Phospho-Hela_HCD	Cancer Cell Lines, Other Female Reproductive Organ	Robinson et al. (2016)	27425180	PXD003904
9327	Hs_UVPD_Phospho-HCC70_HCD	Cancer Cell Lines, Breast	Robinson et al. (2016)	27425180	PXD003904
9326	Hs_UVPD_Phospho-HCC70_CID	Cancer Cell Lines, Breast	Robinson et al. (2016)	27425180	PXD003904
9325	Hs_QtI_Plasma	Blood Plasma	Corthésy et al. (2018)	29695160	PXD008029
9324	Hs_QtI_CSF	Cerebrospinal Fluid	Corthésy et al. (2018)	29695160	PXD008029
9321	Hs_Testis_GluC	Testis	Sun et al. (2018)	30280576	PXD009737
9322	Hs_Testis_Trypsin	Testis	Sun et al. (2018)	30280576	PXD009737
9323	Hs_Testis_Lys-C	Testis	Sun et al. (2018)	30280576	PXD009737
9320	Hs_OlfactoryEpithelialTissue	Olfactory	Hwang et al. (2018)	30113170	PXD010025
9319	Hs_Saliva_Proteome-Saliva	Other Anatomical Entities	Grassl et al. (2016)	27102203	PXD003028
9318	Hs_Saliva_Proteome-Plasma	Blood Plasma	Grassl et al. (2016)	27102203	PXD003028
9316	Hs_SUMO_U2OS_2	Cancer Cell Lines, Other Anatomical Entities	Hendriks et al. (2017)	28112733	PXD004927
9317	Hs_SUMO_Hela_2	Cancer Cell Lines, Other Female Reproductive Organ	Hendriks et al. (2017)	28112733	PXD004927
9315	HS_EPL	Placenta	Xin et al. (2016)	26947931	PXD002391
9314	Hs_PDAC	Cancer, Pancreas	Oria et al. (2018)	30172883	PXD009254
9313	Hs_hESCs_Nucleus	Non Cancer Cell Lines	Weldemariam et al. (2018)	30203655	PXD009840
9312	Hs_hESCs_Membrance	Non Cancer Cell Lines	Weldemariam et al. (2018)	30203655	PXD009840
9311	Hs_hESCs_Cytosol	Non Cancer Cell Lines	Weldemariam et al. (2018)	30203655	PXD009840
9310	Hs_Testis_LMW_Trypsin	Testis	He et al. (2018)	30277781	PXD010093
9309	Hs_Testis_LMW_LysargiNase	Testis	He et al. (2018)	30277781	PXD010093
9308	Hs_DentalPulp_TAILS-N-terminomics	Other Anatomical Entities	Abbey et al. (2018)	29035686	PXD006557
9307	Hs_EasyPhos	Cancer Cell Lines, Brain	Humphrey et al. (2018)	30190555	PXD009227
9306	Hs_MitochondrialProteome_U20S	Cancer Cell Lines, Other Anatomical Entities	Ronci et al. (2018)	30284448	PXD010446
9305	Hs_MitochondrialProteome_SHSY5Y	Cancer Cell Lines, Brain	Ronci et al. (2018)	30284448	PXD010446
9304	Hs_MitochondrialProteome_HepG2	Cancer Cell Lines, Liver	Ronci et al. (2018)	30284448	PXD010446
9303	Hs_MitochondrialProteome_Hela	Cancer, Other Female Reproductive Organ	Ronci et al. (2018)	30284448	PXD010446
9302	Hs_MitochondrialProteome_HEK293	Non Cancer Cell Lines	Ronci et al. (2018)	30284448	PXD010446
9301	Hs_MesenchymalStemCell	Non Cancer Cell Lines	Billing et al. (2016)	26857143	PXD001856
9300	Hs_Glyco_THP-1	Cancer Cell Lines, Blood	Müller et al. (2017)	28404994	PXD004034
9299	Hs_Glyco_Monocyte	Blood Cells	Müller et al. (2017)	28404994	PXD004034
9294	Hs_Total_Proteome-fibroblasts	Non Cancer Cell Lines	Bassani-Sternberg et al. (2015)	25576301	PXD000394
9298	Hs_Total_Proteome-JY-SILAC	Blood Cells	Bassani-Sternberg et al. (2015)	25576301	PXD000394
9297	Hs_Total_Proteome-HCT116-SILAC	Cancer Cell Lines, Digestive System	Bassani-Sternberg et al. (2015)	25576301	PXD000394
9296	Hs_Total_Proteome-HCC1937	Cancer Cell Lines, Breast	Bassani-Sternberg et al. (2015)	25576301	PXD000394
9295	Hs_Total_Proteome-HCC1143	Cancer Cell Lines, Breast	Bassani-Sternberg et al. (2015)	25576301	PXD000394
9293	Hs_HLA_Peptidome	Non Cancer Cell Lines	Bassani-Sternberg et al. (2015)	25576301	PXD000394
9292	Hs_Membranes_Placenta	Placenta			PXD010630
9291	Hs_Membranes_K562	Cancer Cell Lines, Blood			PXD010630
9290	Hs_Membranes_Hela	Cancer Cell Lines, Other Female Reproductive Organ			PXD010630
9289	Hs_THP1_Lysosome	Cancer Cell Lines, Blood	Xu et al. (2017)	28433889	PXD005748
9287	Hs_BCell_N-terminome_TMT10_CID	Blood Cells			PXD006723
9288	Hs_BCell_N-terminome_TMT10_HCD	Blood Cells			PXD006723
9239	HPP_Testis_PRM	Sperm	Carapito et al. (2017)	28891297	
9238	Human_ProteoMinerTM_Liver	Cancer, Liver	Li et al. (2017)	28960076	PXD006833
9237	Human_ProteoMinerTM_Kidney	Cancer, Kidney	Li et al. (2017)	28960076	PXD006833
9236	Human_ProteoMinerTM_Colon	Cancer, Digestive System	Li et al. (2017)	28960076	PXD006833
9235	Human_ProteoMinerTM_Bladder	Cancer, Urinary Bladder	Li et al. (2017)	28960076	PXD006833
9228	Hs_Endothelial_Cell-HUVEC_sn_stim	Non Cancer Cell Lines	Slany et al. (2016)	27025457	PXD003411
9227	Hs_Endothelial_Cell-HUVEC_sn_con	Non Cancer Cell Lines	Slany et al. (2016)	27025457	PXD003410
9226	Hs_Endothelial_Cell-HUVEC_ne_stim	Non Cancer Cell Lines	Slany et al. (2016)	27025457	PXD003409
9225	Hs_Endothelial_Cell-HUVEC_ne_con	Non Cancer Cell Lines	Slany et al. (2016)	27025457	PXD003408
9224	Hs_Endothelial_Cell-HUVEC_cyt_stim	Non Cancer Cell Lines	Slany et al. (2016)	27025457	PXD003407
9223	Hs_Endothelial_Cell-HUVEC_cyt_con	Non Cancer Cell Lines	Slany et al. (2016)	27025457	PXD003406
9230	Hs_Endothelial_Cell-NHDF_cyt_stim	Non Cancer Cell Lines	Slany et al. (2016)	27025457	PXD003413
9229	Hs_Endothelial_Cell-NHDF_cyt_con	Non Cancer Cell Lines	Slany et al. (2016)	27025457	PXD003412
9234	Hs_Endothelial_Cell-NHDF_sn_stim	Non Cancer Cell Lines	Slany et al. (2016)	27025457	PXD003417
9233	Hs_Endothelial_Cell-NHDF_sn_con	Non Cancer Cell Lines	Slany et al. (2016)	27025457	PXD003416
9232	Hs_Endothelial_Cell-NHDF_ne_stim	Non Cancer Cell Lines	Slany et al. (2016)	27025457	PXD003415
9231	Hs_Endothelial_Cell-NHDF_ne_con	Non Cancer Cell Lines	Slany et al. (2016)	27025457	PXD003415
9216	Hs_Lung_HOPE-fixation_Phospho-SF	Lung	Shevchuk et al. (2014)	24702127	PXD000836
9217	Hs_Lung_HOPE-fixation_Phospho-HOPE	Lung	Shevchuk et al. (2014)	24702127	PXD000836
9214	Hs_Lung_HOPE-fixation_HOPE	Lung	Shevchuk et al. (2014)	24702127	PXD000836
9215	Hs_Lung_HOPE-fixation_SF	Lung	Shevchuk et al. (2014)	24702127	PXD000836
9211	Hs_C-HPP_Franco-Swiss_QExactive	Other Anatomical Entities	Carapito et al. (2015)	26132440	PXD002131
9212	Hs_C-HPP_Franco-Swiss_QExactive_Silac	Other Anatomical Entities	Carapito et al. (2015)	26132440	PXD002131
9210	Hs_C-HPP_Franco-Swiss_LTQ_OrbiVelos-Silac	Other Anatomical Entities	Carapito et al. (2015)	26132440	PXD002131
9209	Hs_C-HPP_Franco-Swiss_LTQ_OrbiVelos	Other Anatomical Entities	Carapito et al. (2015)	26132440	PXD002131
9213	Hs_C-HPP_Franco-Swiss_LTQ-Orbi-XL	Other Anatomical Entities	Carapito et al. (2015)	26132440	PXD002131
9206	Hs_NCI60_DeepProteome-U-251	Cancer Cell Lines, Brain	Moghaddas Gholami et al. (2013)	23933261	PXD005940
9205	Hs_NCI60_DeepProteome-SKOV-3	Cancer Cell Lines, Ovary	Moghaddas Gholami et al. (2013)	23933261	PXD005940
9204	Hs_NCI60_DeepProteome-RXF-393	Cancer Cell Lines, Kidney	Moghaddas Gholami et al. (2013)	23933261	PXD005940
9203	Hs_NCI60_DeepProteome-PC-3	Cancer Cell Lines, Other Male Reproductive Organ	Moghaddas Gholami et al. (2013)	23933261	PXD005940
9207	Hs_NCI60_DeepProteome-H460	Cancer Cell Lines, Lung	Moghaddas Gholami et al. (2013)	23933261	PXD005940
9202	Hs_NCI60_DeepProteome-MCF-7	Cancer Cell Lines, Breast	Moghaddas Gholami et al. (2013)	23933261	PXD005940
9201	Hs_NCI60_DeepProteome-M14	Cancer Cell Lines, Other Anatomical Entities	Moghaddas Gholami et al. (2013)	23933261	PXD005940
9200	Hs_NCI60_DeepProteome-Colo-205	Cancer Cell Lines, Digestive System	Moghaddas Gholami et al. (2013)	23933261	PXD005940
9208	Hs_NCI60_DeepProteome-CCRF_CEM	Cancer Cell Lines, Blood	Moghaddas Gholami et al. (2013)	23933261	PXD005940
9199	Hs_Lung_NSCLC-Control	Lung	Fahrmann et al. (2016)	27799870	PXD002612
9198	Hs_Lung_NSCLC	Cancer, Lung	Fahrmann et al. (2016)	27799870	PXD002612
9197	Hs_C-HPP_Kidney_QExactive	Cancer, Kidney	Peng et al. (2017)	28857561	PXD006482
9196	Hs_C-HPP_Kidney_LTQ-Orbi	Cancer, Kidney	Peng et al. (2017)	28857561	PXD006482
9195	Hs_Testis_Multi-enzymes-Lysarginase	Testis	Wang et al. (2017)	28959888	
9194	Hs_Testis_Multi-enzymes-GluC	Testis	Wang et al. (2017)	28959888	
9192	Hs_Testis_Multi-enzymes-LysC	Testis	Wang et al. (2017)	28959888	
